城市,区,方位,房屋名,大小,租赁方式,朝向,月租,计费方式,几室,几厅,几卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,供暖
2,1,1,1,78,1,2,2300,0,2,1,1,2,0,3,3,6,1,0,1,1,2,1
2,2,2,2,12,2,2,750,3,4,1,1,2,12,3,3,30,2,0,1,1,2,0
2,3,3,3,70,1,2,1400,0,1,1,1,2,0,3,1,24,2,0,1,1,2,1
2,4,4,4,10,2,2,800,3,3,1,1,2,10,3,3,6,1,1,1,1,2,1
2,3,3,5,60,1,2,1300,0,1,1,1,2,0,3,2,27,2,0,1,1,2,1
2,2,5,6,49,1,2,2600,0,1,1,1,2,0,3,2,27,2,0,1,1,1,1
2,2,5,6,47,1,2,2600,0,1,1,1,2,0,3,3,27,2,0,1,1,1,1
2,2,5,6,63,1,2,3300,0,1,1,1,2,0,3,2,27,2,0,1,1,1,1
2,5,6,7,17,1,2,1200,0,1,0,1,2,0,2,3,3,1,0,0,0,1,2
2,5,6,8,15,2,2,1100,3,3,1,1,2,10,3,3,3,1,1,1,1,2,1
2,6,7,9,88,1,2,1000,1,2,1,1,2,36,2,3,5,1,0,1,1,2,1
2,5,8,10,15,2,1,1000,1,4,1,1,2,12,3,3,6,1,1,1,1,2,1
2,4,9,11,38,1,2,1200,1,1,1,1,2,12,2,2,6,1,0,1,1,2,1
2,7,10,12,8,2,2,698,3,3,1,1,2,10,3,3,7,1,1,1,1,2,1
2,7,11,13,60,1,2,1500,0,2,1,1,1,0,2,3,6,1,0,1,1,2,1
2,8,12,14,41,1,2,1400,0,1,1,1,2,0,2,2,6,1,0,1,1,2,1
2,5,6,15,11,1,2,800,0,1,0,0,1,0,1,2,3,1,0,1,1,2,1
2,3,3,16,38,1,2,800,0,1,1,1,2,0,2,3,4,1,0,0,0,2,1
2,7,13,17,18,1,3,1200,0,1,0,0,2,0,2,3,4,1,0,1,1,2,1
2,7,14,18,12,2,2,1237,3,4,1,1,2,6,3,3,6,0,0,0,0,0,1
2,8,15,19,67,1,2,1500,0,1,1,1,2,0,2,1,32,2,0,1,1,2,1
2,7,14,18,12,2,2,1183,3,4,1,1,2,6,3,3,6,0,0,0,0,0,1
2,5,16,20,26,1,2,1200,0,1,0,0,2,0,2,3,5,1,0,1,1,2,1
2,4,17,21,14,2,2,980,3,4,1,1,2,12,3,3,6,1,1,1,1,2,1
2,7,10,22,35,1,2,1500,0,1,1,1,2,0,2,3,6,1,0,1,1,2,1
2,4,9,23,14,2,1,1030,1,3,1,1,2,12,3,3,6,0,0,0,0,0,0
2,6,18,24,127,2,2,950,0,3,1,2,2,0,2,2,6,1,0,1,1,2,1
2,9,19,25,15,2,2,900,3,4,1,1,2,12,3,3,7,1,1,1,1,2,1
2,3,20,26,43,1,2,600,0,1,1,1,2,0,1,3,4,1,0,1,1,2,1
2,9,19,27,20,2,8,1030,3,2,1,1,2,12,3,3,7,1,1,1,1,2,1
2,7,10,28,22,1,2,1200,0,1,1,1,2,0,2,1,6,1,0,1,1,2,1
2,7,21,29,48,1,2,1500,0,1,1,1,1,0,2,3,6,1,0,1,1,2,1
2,2,22,30,20,1,2,900,0,1,1,1,2,0,2,3,6,1,0,1,1,2,1
2,4,23,31,23,1,2,1200,0,1,1,1,2,0,2,3,5,1,0,1,1,2,1
2,10,24,32,6,2,4,990,1,5,1,2,2,12,3,3,33,0,2,0,0,0,0
2,4,25,33,16,2,8,650,3,4,1,1,2,12,3,3,5,1,1,1,1,2,1
2,2,2,2,22,2,2,1300,3,4,1,1,2,12,3,3,26,2,1,1,1,2,1
2,10,26,34,59,1,2,1200,0,2,1,1,2,0,2,3,6,1,0,1,1,2,1
2,7,11,13,38,1,2,1200,0,1,1,1,2,0,2,3,6,1,0,1,1,2,1
2,2,27,35,10,1,1,800,0,2,1,1,2,0,2,3,7,1,0,1,1,2,1
2,11,28,36,87,1,2,500,0,2,2,1,2,0,2,1,24,2,0,1,1,2,1
2,2,5,37,21,2,2,1150,3,3,1,1,2,24,3,3,6,1,0,1,1,2,0
2,7,29,38,10,2,2,1360,1,4,1,2,2,12,3,3,7,1,2,1,1,2,0
2,7,21,39,9,2,4,1430,1,2,1,1,2,12,3,3,6,0,0,0,0,0,0
2,7,29,40,31,1,3,1500,0,1,1,1,1,0,2,3,7,1,0,1,1,2,1
