房屋编号,城市,区,方位,房屋名,大小,租赁方式,朝向,月租,计费方式,几室,几厅,几卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,供暖
TJ2303548621418930176,天津,开发区,第三大街,汇泉园,78㎡,整租,南,2300元/月,NULL,2室,1厅,1卫,随时入住,NULL,随时可看,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2312105288687427584,天津,南开,鼓楼街,尚佳新苑,12㎡,合租,南,750元/月,月付价,4室,1厅,1卫,随时入住,3~12个月,随时可看,17,30层,有,NULL,民水,民电,有,NULL
TJ2301389117751033856,天津,滨海新区,汉沽,东岸虹苑,70㎡,整租,南,1400元/月,NULL,1室,1厅,1卫,随时入住,NULL,随时可看,低楼层,24层,有,NULL,民水,民电,有,集中供暖
TJ2310138745820545024,天津,河东,常州道,倚营里,10㎡,合租,南,800元/月,月付价,3室,1厅,1卫,随时入住,10个月,随时可看,6,6层,无,免费使用,民水,民电,有,集中供暖
TJ2298574292150910976,天津,滨海新区,汉沽,梧桐苑,60㎡,整租,南/北,1300元/月,NULL,1室,1厅,1卫,随时入住,NULL,随时可看,中楼层,27层,有,NULL,民水,民电,有,集中供暖
TJ2308693296203177984,天津,南开,广开街,博朗园,49㎡,整租,南,2600元/月,NULL,1室,1厅,1卫,随时入住,NULL,随时可看,中楼层,27层,有,NULL,民水,民电,无,集中供暖
TJ2308669514315218944,天津,南开,广开街,博朗园,47㎡,整租,南,2600元/月,NULL,1室,1厅,1卫,随时入住,NULL,随时可看,高楼层,27层,有,NULL,民水,民电,无,集中供暖
TJ2308722197986295808,天津,南开,广开街,博朗园,63㎡,整租,南,3300元/月,NULL,1室,1厅,1卫,随时入住,NULL,随时可看,中楼层,27层,有,NULL,民水,民电,无,集中供暖
TJ2312079863353450496,天津,和平,劝业场,甘肃路(和平区),17㎡,整租,南,1200元/月,NULL,1室,NULL,1卫,随时入住,NULL,需提前预约,高楼层,3层,无,NULL,NULL,NULL,无,自采暖
TJ2310587599355650048,天津,和平,劝业场,宁远里,15㎡,合租,南,1100元/月,月付价,3室,1厅,1卫,随时入住,2~10个月,随时可看,3,3层,无,免费使用,民水,民电,有,集中供暖
